,Unnamed: 0,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
9,10,Sandro,"€ 32,115","€ 1,670,000","€ 1,701,292",M,30,Brazil,Genoa,Serie A,2019-2020
10,11,Stefano Sturaro,"€ 29,615","€ 1,540,000","€ 1,568,856",M,26,Italy,Genoa,Serie A,2019-2020
11,12,Ionut Radu,"€ 28,462","€ 1,480,000","€ 1,507,732",K,22,Romania,Genoa,Serie A,2019-2020
12,13,Adama Soumaoro,"€ 27,692","€ 1,440,000","€ 1,466,982",D,27,France,Genoa,Serie A,2019-2020
13,14,Federico Marchetti,"€ 25,000","€ 1,300,000","€ 1,324,359",K,36,Italy,Genoa,Serie A,2019-2020
14,15,Lukas Lerager,"€ 25,000","€ 1,300,000","€ 1,324,359",M,26,Denmark,Genoa,Serie A,2019-2020
15,16,Andrea Favilli,"€ 25,000","€ 1,300,000","€ 1,324,359",F,22,Italy,Genoa,Serie A,2019-2020
16,17,Riccardo Saponara,"€ 22,115","€ 1,150,000","€ 1,171,549",F,27,Italy,Genoa,Serie A,2019-2020
17,18,Ivan Radovanovic,"€ 21,346","€ 1,110,000","€ 1,130,799",M,31,Serbia,Genoa,Serie A,2019-2020
18,19,Antonio Barreca,"€ 20,962","€ 1,090,000","€ 1,110,424",D,24,Italy,Genoa,Serie A,2019-2020
19,20,Sinan Gümüs,"€ 19,808","€ 1,030,000","€ 1,049,300",F,25,Germany,Genoa,Serie A,2019-2020
20,21,Andrea Masiello,"€ 17,885","€ 930,000","€ 947,426",D,33,Italy,Genoa,Serie A,2019-2020
21,22,Edoardo Goldaniga,"€ 17,885","€ 930,000","€ 947,426",D,25,Italy,Genoa,Serie A,2019-2020
22,23,Valon Behrami,"€ 16,923","€ 880,000","€ 896,489",M,34,Switzerland,Genoa,Serie A,2019-2020
