,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
552,nl NED,DF,22,1,1,81,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Rick Karsdorp
553,it ITA,FW,18,2,0,31,0.3,0,1,0,0,0,0,0,0.00,2.90,2.90,0.00,2.90,0.6,0.6,0.4,0.9,1.69,1.07,2.76,1.69,2.76,Mirko Antonucci
554,it ITA,DF,22,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Emerson Palmieri
555,it ITA,FW,18,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Marco Tumminello
556,ng NGA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Nura Abdullahi
557,it ITA,DF,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,Devid Bouah
558,br BRA,DF,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,Leandro Castán
559,it ITA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Stefano Ciavattini
560,ro ROU,GK,39,0,0,,,,,,,,,,,,,,,,,,,,,,,,Bogdan Lobonț
561,it ITA,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Andrea Marcucci
562,it ITA,"DF,MF",18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Luca Pellegrini
563,it ITA,FW,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,Alessio Riccardi
564,it ITA,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Andrea Romagnoli
565,it ITA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Valeau
566,uy URU,MF,21,36,36,"3,180",35.3,4,1,4,0,0,6,0,0.11,0.03,0.14,0.11,0.14,1.4,1.4,2.8,4.2,0.04,0.08,0.12,0.04,0.12,Lucas Torreira
